,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,OutdoorFurniture,Furniture,ParkingSpots,NetArea,EnergyClass,TotalRooms,TotalFloors,HouseMaterial,HouseType,LandArea,Region,District,Neighborhood
161,127000,0,2-bedroom,1964,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
162,200000,79,2-bedroom,2001,V večstanovanjski stavbi,4.,6,2020,missing,missing,Delno opremljeno,1,"92,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Center
163,94500,50,missing,1968,V večstanovanjski stavbi,missing,0,0,missing,missing,missing,0,"50,00 m²",missing,0,missing,missing,missing,0,Podravska, Ptuj, Ptuj
165,149000,30,Studio,1973,V večstanovanjski stavbi,5.,5,2019,Terasa,missing,Popolnoma opremljeno,0,missing,missing,0,missing,missing,missing,0,Obalno-kraška, Piran, Lucija
166,114900,54,2-bedroom,1965,V večstanovanjski stavbi,4.,4,2011,missing,missing,Delno opremljeno,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tabor
167,84999,36,1-bedroom,1976,V večstanovanjski stavbi,7.,12,2019,missing,missing,Popolnoma opremljeno,0,"34,00 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Dolgo polje
168,162000,45,2-bedroom,1961,V večstanovanjski stavbi,2.,4,2011,Balkon,missing,missing,0,"52,30 m²",missing,0,missing,missing,missing,0,Gorenjska, Kranj, Kranj
171,165000,70,3-bedroom,1979,V večstanovanjski stavbi,1.,8,2021,Balkon,Vrt/dvorišče,Delno opremljeno,0,"74,50 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Nova Vas
172,160000,102,"4,5-bedroom",1979,V večstanovanjski stavbi,4.,4,2012,Balkon,missing,Popolnoma opremljeno,2,"112,00 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Ptuj, Ptuj
173,280000,105,3-bedroom,2008,V večstanovanjski stavbi,2.,3,0,Zaprt balkon,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Maribor, Koroška vrata
175,99000,0,2-bedroom,1974,missing,missing,6,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Ptuj, Ptuj
176,268000,66,3-bedroom,1968,V večstanovanjski stavbi,8.,12,2005,Balkon,missing,missing,0,"62,00 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Zgornja Šiška
178,233000,0,3-bedroom,1982,V večstanovanjski stavbi,3.,4,2016,"Balkon, Zaprt balkon",missing,Popolnoma opremljeno,0,"76,10 m²",missing,0,missing,missing,missing,0,Obalno-kraška, Kozina, Hrpelje
179,92000,27,Studio,1997,V večstanovanjski stavbi,2.,2,0,Balkon,missing,Popolnoma opremljeno,0,"29,10 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Trzin, Trzin
180,199000,59,missing,1941,V večstanovanjski stavbi,1.,3,2005,missing,missing,missing,0,"59,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Savsko naselje
181,75000,68,2-bedroom,1967,missing,missing,0,0,missing,missing,missing,0,missing,EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Center
182,291000,82,missing,1955,V večstanovanjski stavbi,missing,2,2008,missing,missing,Delno opremljeno,0,"82,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most
184,197000,68,"2,5-bedroom",1966,V večstanovanjski stavbi,4.,4,2021,missing,missing,missing,0,missing,D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Moste Polje, Polje
185,275000,0,3-bedroom,1869,V večstanovanjski stavbi,1.,2,2022,Balkon,missing,Neopremljeno,0,"101,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Melje
186,189888,78,2-bedroom,0,V večstanovanjski stavbi,1.,2,2009,"Balkon, Zaprt balkon",Vrt/dvorišče,Popolnoma opremljeno,2,"85,15 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Savinjska, Žalec, Žalec
187,89113,38,Studio,2010,V večstanovanjski stavbi,5.,5,2022,Loža,missing,missing,0,"47,15 m²",missing,0,missing,missing,missing,0,Podravska, Hoče, Hočko Pohorje
188,138000,64,"2,5-bedroom",1938,V večstanovanjski stavbi,1.,4,2022,missing,missing,Popolnoma opremljeno,1,missing,missing,0,missing,missing,missing,0,Podravska, Maribor, Center
189,114900,60,2-bedroom,1990,V večstanovanjski stavbi,5.,7,0,"Balkon, Loža",Vrt/dvorišče,Delno opremljeno,2,"65,00 m²",EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Borova vas
190,97000,0,2-bedroom,1981,missing,missing,0,0,missing,missing,missing,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Koroška, Slovenj Gradec, Slovenj Gradec
191,299000,0,3-bedroom,1900,missing,missing,0,0,missing,missing,missing,0,missing,E (105 - 150 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Spodnja Šiška
192,188000,93,3-bedroom,1964,V večstanovanjski stavbi,3.,3,2018,"Balkon, Zaprt balkon",missing,Popolnoma opremljeno,2,"124,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Tezno
194,123800,44,2-bedroom,2018,V večstanovanjski stavbi,2.,3,0,missing,missing,Popolnoma opremljeno,1,"47,40 m²",B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Rače, Rače
195,375000,65,2-bedroom,2014,missing,6.,10,0,missing,missing,missing,0,missing,A1 (0 - 10 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
196,115000,73,2-bedroom,1954,V večstanovanjski stavbi,1.,0,2009,Balkon,missing,missing,2,"82,56 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Ptuj, Ptuj
197,196000,0,"2,5-bedroom",1976,V večstanovanjski stavbi,2.,6,2016,Loža,missing,Delno opremljeno,0,"73,45 m²",EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Koroška vrata
198,312000,52,2-bedroom,1962,V večstanovanjski stavbi,12.,12,2012,missing,missing,Popolnoma opremljeno,0,missing,missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
199,150000,45,"2,5-bedroom",1962,V večstanovanjski stavbi,4.,5,2017,Balkon,missing,Popolnoma opremljeno,2,"48,69 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Kajuh
200,180000,94,4-bedroom,1600,V večstanovanjski stavbi,1.,1,2017,Balkon,Vrt/dvorišče,Popolnoma opremljeno,2,missing,missing,0,missing,missing,missing,0,Podravska, Maribor, Center
201,280000,72,3-bedroom,1950,missing,1.,3,2014,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Zgornja Šiška
202,195000,49,"2,5-bedroom",1997,V večstanovanjski stavbi,2.,2,0,Balkon,missing,Popolnoma opremljeno,0,"55,00 m²",D (101 do 150 kWh/m2a) - HR,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Moste Polje, Zalog
203,627000,0,3-bedroom,2002,missing,missing,0,0,missing,missing,missing,2,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Stara Ljubljana
204,310000,0,3-bedroom,1936,missing,missing,2,0,missing,Vrt/dvorišče,missing,0,missing,missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
205,60000,46,2-bedroom,1950,V večstanovanjski stavbi,1.,2,2015,Balkon,Lopa za shranjevanje,Delno opremljeno,0,"60,00 m²",missing,0,missing,missing,missing,0,Savinjska, Rogatec, Rogatec
206,189000,0,"4,5-bedroom",1974,V večstanovanjski stavbi,3.,7,2019,Balkon,missing,missing,0,"84,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Tabor
207,74400,76,2-bedroom,1870,V večstanovanjski stavbi,1.,3,1970,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Podravska, Maribor, Magdalena
208,65900,45,1-bedroom,1870,V večstanovanjski stavbi,2.,3,1970,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Podravska, Maribor, Center
209,102900,63,3-bedroom,1960,V večstanovanjski stavbi,3.,3,2018,Balkon,Vrt/dvorišče,Delno opremljeno,0,"72,00 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Pomurska, Gornja Radgona, Gornja Radgona
210,90000,82,4-bedroom,1970,V hiši,missing,0,2018,Balkon,Vrt/dvorišče,Neopremljeno,0,missing,missing,0,missing,missing,missing,0,Podravska, Maribor okolica, Razvanje
211,92000,40,"1,5-bedroom",1991,missing,1.,4,2009,Balkon,missing,missing,0,"46,10 m²",missing,0,missing,missing,missing,0,Podravska, Ptuj, Ptuj
212,250000,56,3-bedroom,1960,missing,1.,13,2022,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
213,79000,62,3-bedroom,1960,V večstanovanjski stavbi,3.,3,2005,"Balkon, Zaprt balkon",missing,missing,2,"80,00 m²",Ni možno izdati,0,missing,missing,missing,0,Podravska, Juršinci, Juršinci
214,250000,81,4-bedroom,1962,missing,1.,3,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most
215,185972,0,3-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"56,17 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
216,255536,0,4-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"79,43 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
217,316916,0,4-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"100,85 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
218,353995,0,3-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"107,25 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
219,154613,0,1-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,1,"40,81 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
220,380745,0,4-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,3,"118,30 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
221,349309,0,4-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"106,58 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
222,288075,0,3-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"88,00 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
223,223859,0,3-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"67,89 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
224,303554,0,6 in večbedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"101,72 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
225,202000,60,"2,5-bedroom",2010,V večstanovanjski stavbi,2.,4,2018,Balkon,missing,Popolnoma opremljeno,1,"77,00 m²",EI v izdelavi,0,missing,missing,missing,0,Savinjska, Celje, Nova vas
226,124000,53,3-bedroom,1988,missing,8.,0,2018,missing,missing,missing,0,"50,50 m²",EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Tezno
229,135000,77,"2,5-bedroom",1890,V večstanovanjski stavbi,4.,4,2009,Balkon,missing,Delno opremljeno,0,"77,30 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Tabor
230,56500,19,Studio,1959,V večstanovanjski stavbi,6.,16,2020,missing,missing,Delno opremljeno,0,"20,90 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tabor
231,58000,65,2-bedroom,1960,V večstanovanjski stavbi,2.,3,2015,Balkon,missing,Popolnoma opremljeno,2,"60,00 m²",EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Savinjska, Zreče, Planina na Pohorju
232,118000,0,2-bedroom,1963,V večstanovanjski stavbi,3.,4,2018,Balkon,missing,Popolnoma opremljeno,0,"51,90 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
233,175000,0,3-bedroom,1957,missing,missing,0,0,missing,missing,missing,0,missing,D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Savinjska, Celje, Celje
234,141250,0,2-bedroom,2008,missing,missing,0,0,missing,missing,missing,0,missing,D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Slovenska Bistrica, Slovenska Bistrica
235,95000,0,2-bedroom,1964,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
236,178000,49,2-bedroom,2005,V večstanovanjski stavbi,1.,2,0,Zaprt balkon,missing,Popolnoma opremljeno,1,"58,50 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ig, Ig
237,156000,94,"4,5-bedroom",1977,V večstanovanjski stavbi,5.,5,2017,missing,missing,Delno opremljeno,2,"79,00 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Litija, Litija
238,160000,65,"2,5-bedroom",1991,V večstanovanjski stavbi,4.,4,2013,Balkon,missing,Popolnoma opremljeno,0,"71,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Borštnikova ul.
239,265000,103,3-bedroom,1954,V večstanovanjski stavbi,2.,2,2011,Balkon,missing,missing,0,"70,70 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Moste Polje, Polje
241,90000,0,3-bedroom,1988,V večstanovanjski stavbi,1.,3,2017,"Balkon, Zaprt balkon",missing,Popolnoma opremljeno,0,"58,78 m²",missing,0,missing,missing,missing,0,Podravska, Poljčane, Poljčane
245,103000,65,3-bedroom,1975,V večstanovanjski stavbi,2.,4,2019,Balkon,missing,Popolnoma opremljeno,2,"65,00 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Podravska, Ormož, Hardek
246,48000,51,2-bedroom,1874,V večstanovanjski stavbi,1.,2,2004,Balkon,missing,Neopremljeno,0,missing,missing,0,missing,missing,missing,0,Zasavska, Trbovlje, Trbovlje
247,239000,118,6 in večbedroom,1910,V večstanovanjski stavbi,1.,2,2016,missing,missing,missing,0,"145,57 m²",EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Koroška vrata
248,259000,68,"2,5-bedroom",1963,V večstanovanjski stavbi,4.,4,2020,Balkon,missing,Delno opremljeno,0,"67,80 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Vič Rudnik, Rožna dolina
249,109000,63,"2,5-bedroom",1959,missing,3.,0,2000,Balkon,missing,Delno opremljeno,0,missing,missing,0,missing,missing,missing,0,Podravska, Ptuj, Ptuj
250,139000,54,2-bedroom,1995,V večstanovanjski stavbi,2.,2,0,missing,missing,missing,1,"53,54 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Radvanje
251,290000,137,4-bedroom,1780,V večstanovanjski stavbi,2.,2,2017,Balkon,missing,Popolnoma opremljeno,0,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Center
252,87000,36,1-bedroom,1976,V večstanovanjski stavbi,5.,5,2020,missing,missing,Neopremljeno,1,"36,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Tabor
253,105000,18,Studio,1959,V večstanovanjski stavbi,missing,0,0,missing,missing,missing,0,"17,50 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šiška
254,113000,79,missing,1964,V večstanovanjski stavbi,missing,0,1997,missing,missing,missing,0,"79,00 m²",missing,0,missing,missing,missing,0,Jugovzhodna Slovenija, Trebnje, Mirna
255,72000,24,Studio,1900,V večstanovanjski stavbi,1.,20,2010,missing,missing,Popolnoma opremljeno,0,"24,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Center
256,137000,75,"3,5-bedroom",1958,V večstanovanjski stavbi,missing,5,2015,Balkon,missing,Popolnoma opremljeno,0,"82,40 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Koroška vrata
257,69999,42,1-bedroom,1950,V večstanovanjski stavbi,4.,4,0,missing,missing,Popolnoma opremljeno,0,"47,00 m²",missing,0,missing,missing,missing,0,Podravska, Kidričevo, Kidričevo
258,80000,0,1-bedroom,0,missing,2.,5,0,Balkon,missing,missing,0,"43,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Tabor
259,139000,0,"2,5-bedroom",0,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Maribor, Radvanje
260,259000,127,3-bedroom,1910,V večstanovanjski stavbi,2.,2,2012,missing,missing,Popolnoma opremljeno,0,"127,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Center
261,297000,61,3-bedroom,1900,V večstanovanjski stavbi,4.,0,1994,missing,missing,missing,0,"61,00 m²",missing,0,missing,missing,missing,0,Obalno-kraška, Piran, Piran
262,163000,0,"2,5-bedroom",1910,missing,missing,0,0,missing,missing,missing,0,missing,D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
263,120000,0,2-bedroom,1948,V večstanovanjski stavbi,missing,2,0,Balkon,Vrt/dvorišče,missing,1,"59,50 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tezno
264,140000,46,2-bedroom,1960,missing,missing,0,0,missing,missing,missing,0,"45,60 m²",G (210+ kWh/m2a),0,missing,missing,missing,0,Goriška, Nova Gorica, Nova Gorica
265,115000,72,2-bedroom,1900,V večstanovanjski stavbi,2.,2,2015,missing,missing,Neopremljeno,0,"72,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Center
266,154900,75,3-bedroom,1980,V večstanovanjski stavbi,6.,8,0,missing,missing,Popolnoma opremljeno,0,"79,80 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Betnava
267,554794,81,4-bedroom,2023,V večstanovanjski stavbi,1.,3,0,"Balkon, Terasa, Loža",missing,Neopremljeno,0,"102,87 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Vič Rudnik, Rudnik
268,280404,39,Studio,2023,V večstanovanjski stavbi,1.,3,0,"Balkon, Terasa, Loža",missing,Neopremljeno,0,"50,15 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Vič Rudnik, Rudnik
269,328116,52,3-bedroom,2023,V večstanovanjski stavbi,1.,3,0,"Balkon, Terasa, Loža",missing,Neopremljeno,0,"62,68 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Vič Rudnik, Rudnik
271,119000,51,Drugo,1905,V večstanovanjski stavbi,2.,2,2015,Balkon,Vrt/dvorišče,Popolnoma opremljeno,0,"61,99 m²",EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Podravska, Maribor, Center
272,273000,80,3-bedroom,2012,missing,missing,3,0,Balkon,missing,Delno opremljeno,2,"100,00 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Škofljica, Lavrica
273,95400,0,2-bedroom,1959,missing,missing,0,0,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Savinjska, Šmartno ob Paki, Šmartno ob Paki
274,398000,0,4-bedroom,2010,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Obalno-kraška, Koper, Koper
275,53000,41,1-bedroom,1900,missing,1.,0,2018,missing,missing,missing,0,"35,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Studenci
276,168000,0,3-bedroom,1979,V večstanovanjski stavbi,1.,5,0,Zaprt balkon,missing,Popolnoma opremljeno,3,"73,26 m²",B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Nova Vas
278,165000,62,2-bedroom,2012,V večstanovanjski stavbi,2.,2,2022,Balkon,missing,Popolnoma opremljeno,1,missing,missing,0,missing,missing,missing,0,Podravska, Maribor, Košaki
279,170000,131,5-bedroom,1900,V večstanovanjski stavbi,1.,1,2000,Atrij,missing,Neopremljeno,0,"140,00 m²",EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Podravska, Maribor, Center
280,229000,36,1-bedroom,1920,V večstanovanjski stavbi,2.,4,2010,missing,missing,missing,0,"39,00 m²",missing,0,missing,missing,missing,0,Obalno-kraška, Piran, Piran
281,199000,52,2-bedroom,2022,V večstanovanjski stavbi,3.,5,0,Balkon,missing,Popolnoma opremljeno,1,"64,00 m²",A2 (10 - 15 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Nova Vas
282,249000,79,3-bedroom,1952,V večstanovanjski stavbi,2.,3,2010,missing,missing,Popolnoma opremljeno,0,missing,missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šiška
283,260000,81,3-bedroom,1981,V večstanovanjski stavbi,14.,0,0,missing,missing,Popolnoma opremljeno,0,"81,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
284,214990,71,3-bedroom,0,V večstanovanjski stavbi,missing,3,0,Terasa,missing,missing,2,"97,08 m²",missing,0,missing,missing,missing,0,Zasavska, Zagorje ob Savi, Brezje
285,138000,83,3-bedroom,1959,V večstanovanjski stavbi,missing,3,2017,missing,missing,Delno opremljeno,0,"83,00 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
287,157000,32,missing,1963,V večstanovanjski stavbi,missing,4,2019,missing,missing,missing,0,"32,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Moste Polje, Moste
